driverId,week,hours-logged,miles-logged
85,16,61,1100
41,29,59,0
107,2,69,1000
63,34,65,2800
53,6,67,100
35,37,76,1900
59,42,67,2400
61,3,76,1900
42,37,78,3600
106,10,56,2100
56,34,76,3900
101,35,51,2800
71,11,65,2500
80,33,56,2700
25,1,76,2900
79,33,63,3200
64,5,78,2800
30,24,56,2200
24,2,78,3000
42,9,78,1000
53,31,59,1500
65,46,64,1000
11,8,71,2900
32,48,60,1700
101,27,72,1100
51,49,76,400
38,47,76,2900
69,4,73,200
104,37,63,700
24,3,67,3500
44,42,68,2700
90,42,75,300
93,36,78,600
79,29,64,1700
74,7,78,1600
18,21,66,700
38,2,76,800
60,29,79,2600
63,12,62,3300
104,2,57,1900
92,6,50,3000
75,17,71,3500
109,18,57,200
25,16,70,900
84,23,72,3600
91,38,55,3200
34,34,74,1000
107,50,60,700
10,49,61,3500
31,12,60,1100
41,15,74,700
101,23,69,3300
42,19,53,2400
74,29,53,2600
80,30,55,200
28,17,57,700
64,42,52,2100
92,47,72,2600
95,2,56,1900
17,37,66,500
20,10,54,0
18,48,76,3300
78,20,52,3600
46,50,77,300
12,34,53,2900
47,45,51,1300
94,50,54,2900
37,51,80,3700
25,52,52,2100
83,43,79,0
40,22,68,2300
81,34,60,1800
97,15,53,900
88,8,61,3300
15,22,64,0
83,37,62,1800
25,12,59,1200
99,51,65,2600
98,30,52,3800
103,35,65,200
92,11,58,1500
97,36,50,1500
63,21,52,1400
74,19,80,2500
51,48,67,1700
55,45,66,1500
85,41,51,500
39,49,74,1500
109,45,76,3700
15,13,74,3400
15,45,71,900
22,38,79,1500
106,7,66,600
25,4,69,2300
86,12,74,3100
57,49,72,4000
70,49,61,4000
41,18,57,2100
79,44,67,3200
99,7,62,400
97,38,78,2100
70,43,73,300
95,42,68,3100
20,36,61,1900
62,18,77,2900
61,25,55,3100
69,3,79,2700
28,45,54,3000
79,25,52,1400
104,38,53,1200
99,7,77,700
12,51,56,3200
100,29,50,1100
93,10,79,1500
23,33,50,1500
28,1,60,400
79,5,64,1600
82,32,62,3300
57,47,50,1100
94,28,74,3600
81,39,52,1000
77,25,70,800
13,9,56,2200
31,50,53,2900
58,20,58,3800
75,33,80,200
89,4,60,1300
31,10,52,1300
16,27,62,1800
37,6,66,2400
77,5,73,100
95,29,76,1500
18,32,61,500
80,48,61,1400
39,37,72,2800
14,16,76,3100
48,29,69,700
34,25,51,1800
79,5,57,2800
21,22,55,1700
17,42,73,2900
18,10,57,3900
19,15,80,0
36,38,61,3100
11,50,77,1800
98,23,56,3600
28,7,61,0
18,52,51,1300
79,10,80,2200
55,49,68,3600
87,9,54,3500
81,9,53,2900
32,35,50,500
98,10,58,2500
83,30,76,1800
42,45,69,1800
32,1,67,1200
58,2,59,4000
85,8,70,1600
38,27,62,2600
27,3,74,2400
69,49,55,2400
24,5,58,3900
89,48,62,800
67,46,57,2400
104,16,52,2100
23,34,74,600
88,14,55,1100
42,48,76,3400
95,39,57,3500
74,37,65,3800
73,47,61,800
55,26,60,3800
28,33,65,1100
89,47,73,1000
10,46,56,4000
81,29,63,2800
49,35,77,2600
92,33,52,3200
108,2,72,3500
20,8,65,4000
58,24,55,3700
105,8,51,3800
38,32,70,3900
101,9,60,3000
57,38,62,2400
18,9,62,1700
11,44,55,1800
98,37,76,2600
38,26,78,2600
24,48,71,3100
40,45,73,500
26,1,77,4000
37,37,53,1300
99,47,61,2900
96,15,70,3600
17,34,68,3100
38,21,60,600
21,4,59,3000
60,9,75,3700
41,5,60,3800
19,19,80,2900
90,42,59,800
47,14,59,2100
81,24,65,1900
33,24,61,3800
33,7,70,800
75,29,58,3400
64,40,56,2200
88,19,61,1100
59,39,76,500
70,27,55,2900
20,10,56,2700
93,4,79,2200
99,29,61,3600
25,24,51,2200
12,10,77,2800
51,6,72,100
40,2,67,1600
87,33,53,1700
18,4,75,400
50,17,73,3000
23,11,77,100
36,24,70,2300
52,46,54,1500
40,34,77,2000
51,37,55,2100
62,22,64,1000
89,21,54,1400
25,4,77,3500
89,15,70,3000
34,40,78,3900
86,37,66,2900
34,6,56,3000
66,24,62,2800
103,15,70,600
19,41,68,1500
10,33,64,300
24,32,50,900
71,37,80,3100
88,22,53,1000
57,8,65,2400
39,51,71,3600
49,35,54,1100
52,13,51,1600
103,41,71,200
78,5,54,800
65,7,77,3600
56,41,76,1800
40,36,56,2600
54,26,53,2600
104,52,74,1500
64,19,62,2400
10,33,75,600
26,48,54,3700
97,10,79,1600
84,26,51,3200
23,9,66,600
108,1,75,1600
52,2,59,0
37,52,77,3300
30,4,56,4000
11,26,59,1200
106,22,66,2600
42,17,61,3600
94,1,76,2900
59,37,60,1600
109,19,51,1300
86,49,58,1300
68,21,79,3600
37,44,77,3200
108,2,66,1200
24,51,71,900
103,42,56,2400
16,9,57,3500
87,21,61,1200
42,13,79,3600
23,33,69,2500
44,18,70,1700
16,14,56,0
48,9,75,1200
23,22,52,3600
38,16,67,400
81,47,76,2800
23,14,77,700
65,15,65,1300
50,45,66,2500
42,41,78,1400
107,40,63,1800
37,8,64,300
85,49,77,1200
45,9,76,2200
41,44,77,300
22,38,73,2700
37,12,65,2900
40,50,76,2000
51,2,51,3400
75,13,80,400
70,8,53,3000
103,49,60,1600
46,38,74,3300
63,33,54,3200
42,20,76,3800
33,34,64,300
24,47,78,1900
31,47,57,1500
94,12,65,1900
37,41,58,500
45,35,69,3700
100,39,62,3000
29,16,75,3600
67,33,52,100
45,6,66,3200
100,12,65,1200
16,30,80,2300
85,3,52,1800
49,10,57,600
99,10,59,2600
40,52,61,700
47,23,60,3800
104,6,60,3000
54,50,50,1000
59,14,72,3000
23,7,53,800
10,25,64,3300
63,4,63,3000
98,6,56,3200
55,38,80,600
101,45,64,2000
44,26,64,700
49,20,50,2800
74,31,72,500
55,43,50,1700
22,22,76,1200
22,43,80,3500
72,49,68,1600
90,20,67,2800
44,3,59,400
48,26,76,2100
50,52,69,800
36,8,63,1500
78,50,63,400
83,52,66,1200
46,7,65,1500
41,13,66,1300
42,7,80,1600
21,30,62,3800
71,52,54,800
103,48,64,2700
43,9,67,1600
38,23,73,900
13,46,51,1800
77,1,52,200
39,39,73,2200
19,14,50,3800
96,25,70,700
44,36,52,800
102,18,50,600
43,34,79,300
24,48,80,1400
11,21,67,2900
99,32,67,2500
65,6,73,4000
22,14,56,2300
94,12,59,800
81,1,63,3600
81,40,74,700
69,21,71,2900
95,39,63,1400
80,18,59,3100
104,25,60,900
61,41,76,700
82,32,60,2200
